title,url,source,difficulty,patterns
176. Second Highest Salary,https://leetcode.com/problems/second-highest-salary,leetcode,Medium,Hash Table/Hash Map
177. Nth Highest Salary,https://leetcode.com/problems/nth-highest-salary,leetcode,Medium,Hash Table/Hash Map
178. Rank Scores,https://leetcode.com/problems/rank-scores,leetcode,Medium,Hash Table/Hash Map
179. Largest Number,https://leetcode.com/problems/largest-number,leetcode,Medium,"Greedy,String Manipulation,Sorting Algorithms"
180. Consecutive Numbers,https://leetcode.com/problems/consecutive-numbers,leetcode,Medium,Hash Table/Hash Map
181. Employees Earning More Than Their Managers,https://leetcode.com/problems/employees-earning-more-than-their-managers,leetcode,Easy,Hash Table/Hash Map
182. Duplicate Emails,https://leetcode.com/problems/duplicate-emails,leetcode,Easy,Hash Table/Hash Map
183. Customers Who Never Order,https://leetcode.com/problems/customers-who-never-order,leetcode,Easy,Hash Table/Hash Map
184. Department Highest Salary,https://leetcode.com/problems/department-highest-salary,leetcode,Medium,Hash Table/Hash Map
185. Department Top Three Salaries,https://leetcode.com/problems/department-top-three-salaries,leetcode,Hard,Hash Table/Hash Map
186. Reverse Words in a String II,https://leetcode.com/problems/reverse-words-in-a-string-ii,leetcode,Medium,Hash Table/Hash Map
187. Repeated DNA Sequences,https://leetcode.com/problems/repeated-dna-sequences,leetcode,Medium,"Sliding Window,Bit Manipulation,Hash Table/Hash Map"
188. Best Time to Buy and Sell Stock IV,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,leetcode,Hard,Dynamic Programming
189. Rotate Array,https://leetcode.com/problems/rotate-array,leetcode,Medium,Two Pointers
190. Reverse Bits,https://leetcode.com/problems/reverse-bits,leetcode,Easy,"Bit Manipulation,Divide and Conquer"
191. Number of 1 Bits,https://leetcode.com/problems/number-of-1-bits,leetcode,Easy,"Bit Manipulation,Divide and Conquer"
192. Word Frequency,https://leetcode.com/problems/word-frequency,leetcode,Medium,Hash Table/Hash Map
193. Valid Phone Numbers,https://leetcode.com/problems/valid-phone-numbers,leetcode,Easy,Hash Table/Hash Map
194. Transpose File,https://leetcode.com/problems/transpose-file,leetcode,Medium,Hash Table/Hash Map
195. Tenth Line,https://leetcode.com/problems/tenth-line,leetcode,Easy,Hash Table/Hash Map
196. Delete Duplicate Emails,https://leetcode.com/problems/delete-duplicate-emails,leetcode,Easy,Hash Table/Hash Map
197. Rising Temperature,https://leetcode.com/problems/rising-temperature,leetcode,Easy,Hash Table/Hash Map
198. House Robber,https://leetcode.com/problems/house-robber,leetcode,Medium,Dynamic Programming
199. Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view,leetcode,Medium,"Depth-First Search (DFS),Breadth-First Search (BFS),Tree Traversal"
200. Number of Islands,https://leetcode.com/problems/number-of-islands,leetcode,Medium,"Depth-First Search (DFS),Breadth-First Search (BFS),Union Find (Disjoint Set),Matrix Traversal"
201. Bitwise AND of Numbers Range,https://leetcode.com/problems/bitwise-and-of-numbers-range,leetcode,Medium,Bit Manipulation
202. Happy Number,https://leetcode.com/problems/happy-number,leetcode,Easy,"Two Pointers,Hash Table/Hash Map"
203. Remove Linked List Elements,https://leetcode.com/problems/remove-linked-list-elements,leetcode,Easy,"Recursion,Linked List Manipulation"
204. Count Primes,https://leetcode.com/problems/count-primes,leetcode,Medium,Math and Geometry
205. Isomorphic Strings,https://leetcode.com/problems/isomorphic-strings,leetcode,Easy,"Hash Table/Hash Map,String Manipulation"
206. Reverse Linked List,https://leetcode.com/problems/reverse-linked-list,leetcode,Easy,"Recursion,Linked List Manipulation"
207. Course Schedule,https://leetcode.com/problems/course-schedule,leetcode,Medium,"Depth-First Search (DFS),Breadth-First Search (BFS),Graph Traversal,Topological Sort"
208. Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree,leetcode,Medium,"Trie,Hash Table/Hash Map,String Manipulation"
209. Minimum Size Subarray Sum,https://leetcode.com/problems/minimum-size-subarray-sum,leetcode,Medium,"Sliding Window,Binary Search"
210. Course Schedule II,https://leetcode.com/problems/course-schedule-ii,leetcode,Medium,"Depth-First Search (DFS),Breadth-First Search (BFS),Graph Traversal,Topological Sort"
211. Design Add and Search Words Data Structure,https://leetcode.com/problems/design-add-and-search-words-data-structure,leetcode,Medium,"Depth-First Search (DFS),Trie,String Manipulation"
212. Word Search II,https://leetcode.com/problems/word-search-ii,leetcode,Hard,"Backtracking,Trie,Matrix Traversal"
213. House Robber II,https://leetcode.com/problems/house-robber-ii,leetcode,Medium,Dynamic Programming
214. Shortest Palindrome,https://leetcode.com/problems/shortest-palindrome,leetcode,Hard,"Palindrome Patterns,String Manipulation"
215. Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array,leetcode,Medium,"Heap/Priority Queue,Divide and Conquer,Queue,Sorting Algorithms"
216. Combination Sum III,https://leetcode.com/problems/combination-sum-iii,leetcode,Medium,Backtracking
217. Contains Duplicate,https://leetcode.com/problems/contains-duplicate,leetcode,Easy,"Hash Table/Hash Map,Sorting Algorithms"
218. The Skyline Problem,https://leetcode.com/problems/the-skyline-problem,leetcode,Hard,"Heap/Priority Queue,Divide and Conquer,Queue,Binary Tree Construction,Segment Tree"
219. Contains Duplicate II,https://leetcode.com/problems/contains-duplicate-ii,leetcode,Easy,"Sliding Window,Hash Table/Hash Map"
220. Contains Duplicate III,https://leetcode.com/problems/contains-duplicate-iii,leetcode,Hard,"Sliding Window,Sorting Algorithms"
221. Maximal Square,https://leetcode.com/problems/maximal-square,leetcode,Medium,"Dynamic Programming,Matrix Traversal"
222. Count Complete Tree Nodes,https://leetcode.com/problems/count-complete-tree-nodes,leetcode,Easy,"Binary Search,Bit Manipulation,Tree Traversal"
223. Rectangle Area,https://leetcode.com/problems/rectangle-area,leetcode,Medium,Math and Geometry
224. Basic Calculator,https://leetcode.com/problems/basic-calculator,leetcode,Hard,"Stack,Recursion,String Manipulation"
225. Implement Stack using Queues,https://leetcode.com/problems/implement-stack-using-queues,leetcode,Easy,"Stack,Queue"
